id,type,chinese,romaji,classification,audioid,english
25,主詞目,一家伙仔,tsi̍t-ke-hué-á/tsi̍t-ke-hé-á,宗族、家庭,25(1),A guy
26,主詞目,一般,it-puann,性質、程度,26(1),generally
27,主詞目,一粒一,it-lia̍p-it,性質、程度,27(1),one grain one
28,主詞目,一睏仔,tsi̍t-khùn-á,時間節令,28(1),A sleepy boy
29,主詞目,一概,it-khài,性質、程度,29(1),All
30,主詞目,一路,tsi̍t-lōo,旅行,30(1),all the way
31,主詞目,一寡,--tsi̍t-kuá,性質、程度,31(1),widowed
32,主詞目,一寡仔,tsi̍t-kuá-á,性質、程度,32(1),A widower
33,主詞目,一對時,tsi̍t tuì-sî,時間節令,33(1),When a pair
34,主詞目,一霎仔久,tsi̍t-tiap-á-kú,時間節令,34(1),A moment's notice
35,主詞目,一點仔,tsi̍t-tiám-á,性質、程度,35(1),Yidianzi
36,主詞目,一礐屎,tsi̍t-ha̍k-sái,,36(1),A piece of shit
37,主詞目,一觸久仔,tsi̍t-tak-kú-á,時間節令,37(1),A touch of Jiuzai
38,主詞目,乙,it,"時間節令,性質、程度",38(1),Second
39,主詞目,丁,ting,"時間節令,泛稱,宗族、家庭",39(1),Man
40,主詞目,七,tshit,數詞、量詞,40(1),seven
41,主詞目,九,káu,"性質、程度,數詞、量詞",41(1),Nine
42,主詞目,九,kiú,"性質、程度,數詞、量詞",42(1),Nine
43,主詞目,了,liáu,,43(1),Got it
44,主詞目,二,jī/lī,數詞、量詞,44(1),two
45,主詞目,人,jîn/lîn,泛稱,45(1),people
46,主詞目,人,lâng,泛稱,46(1),people
47,主詞目,入,ji̍p/li̍p,"財務單位、活動,一般動詞-行為動詞",47(1),enter
48,主詞目,八,pat,數詞、量詞,48(1),eight
49,主詞目,八,peh/pueh,數詞、量詞,49(1),eight
50,主詞目,刀,to,"生活用品,數詞、量詞",50(1),knife
51,主詞目,刁,tiau,"心理狀態,待人處事",51(1),carry
52,主詞目,力,la̍t,反應、表情,52(1),force
53,主詞目,力,li̍k,事、物泛稱,53(1),force
54,主詞目,十,tsa̍p,"性質、程度,數詞、量詞",54(1),ten
55,主詞目,十,si̍p,"性質、程度,數詞、量詞",55(1),ten
56,主詞目,卜,poh,"宗族、家庭,心理活動,相關器具、活動",56(1),predict
57,主詞目,卜,pok,"宗族、家庭,心理活動,相關器具、活動",57(1),predict
58,主詞目,又,iū,副詞,58(1),again
59,主詞目,十一哥,tsa̍p-it-ko,泛稱,59(1),Brother Eleven
60,主詞目,了了,liáu-liáu,"境況、狀態-擬事,副詞",60(1),Got it
61,主詞目,了了,--liáu-liáu,"境況、狀態-擬事,副詞",61(1),Got it
62,主詞目,人人,lâng-lâng,泛稱,62(1),everyone
63,主詞目,十二分,tsa̍p-jī-hun/tsa̍p-lī-hun,性質、程度,63(1),Twelve points
64,主詞目,十二生相,tsa̍p-jī senn-siùnn/tsa̍p-lī sinn-siùnn,神明、鬼怪、教派,64(1),twelve zodiac signs
65,主詞目,十二指腸,si̍p-jī-tsí-tn̂g/si̍p-lī-tsí-tn̂g,生理構造,65(1),duodenum
66,主詞目,二九暝,Jī-káu-mê/Lī-káu-mî,時間節令,66(1),twenty-nine dim
67,主詞目,十八骰仔,si̍p-pat-tâu-á,休閒、娛樂,67(1),Eighteen dice
68,主詞目,十八變,tsa̍p-peh-piàn/tsa̍p-pueh-piàn,形貌、體積,68(1),Eighteen changes
69,主詞目,七夕,tshit-sia̍h,"時間節令,生活狀況,相關器具、活動",69(1),Chinese Valentine's Day
70,主詞目,了工,liáu-kang,,70(1),Got a job
71,主詞目,人工,lâng-kang,"泛稱,服務業及其他,錢財資產",71(1),Artificial
72,主詞目,人才,lâng-tsâi,體態樣貌,72(1),Talent
73,主詞目,入土,ji̍p-thóo/li̍p-thóo,生養老死,73(1),buried
74,主詞目,刁工,thiau-kang,心理狀態,74(1),tricky
75,主詞目,人中,jîn-tiong/lîn-tiong,生理構造,75(1),among people
76,主詞目,七孔,tshit-khóng,生理構造,76(1),seven holes
77,主詞目,九孔,káu-kháng,"魚蝦海獸,食物、飲料、煙酒",77(1),nine holes
78,主詞目,二手,jī-tshiú/lī-tshiú,"地位、身世、背景,相關用語",78(1),second hand
79,主詞目,入木,ji̍p-bo̍k/li̍p-bo̍k,"生養老死,婚喪喜慶",79(1),Enter the wood
80,主詞目,八仙,pat-sian,神明、鬼怪、教派,80(1),the Eight Immortals
81,主詞目,刀仔,to-á,生活用品,81(1),Knife boy
82,主詞目,八仙桌,pat-sian-toh,"生活用品,相關器具、活動",82(1),Eight Immortals Table
83,主詞目,八仙綵,pat-sian-tshái,"婚喪喜慶,相關器具、活動",83(1),Eight Immortals Color
84,主詞目,刁古董,tiau-kóo-tóng,"心理狀態,待人處事",84(1),Diao Gugu
85,主詞目,了本,liáu-pún,財務單位、活動,85(1),Got the book
86,主詞目,人民,jîn-bîn/lîn-bîn,國家、社會、民眾,86(1),people
87,主詞目,人生,jîn-sing/lîn-sing,生養老死,87(1),Life
88,主詞目,刀石,to-tsio̍h,生活用品,88(1),knife stone
89,主詞目,十全,tsa̍p-tsn̂g,性質、程度,89(1),Perfect
90,主詞目,十全,si̍p-tsuân,"醫療保健,性質、程度",90(1),Perfect
91,主詞目,八字,peh-jī/pueh-lī,"生養老死,相關器具、活動",91(1),character
92,主詞目,七字仔,tshit-jī-á/tshit-lī-á,"文學、藝術,戲劇、音樂",92(1),Seven-character boy
93,主詞目,十字架,si̍p-jī-kè/si̍p-lī-kè,"神明、鬼怪、教派,相關器具、活動",93(1),cross
94,主詞目,八字跤,pat-jī-kha/pat-lī-kha,體態樣貌,94(1),Eight-character wrestling
95,主詞目,十字路,si̍p-jī-lōo/si̍p-lī-lōo,道路、橋梁,95(1),crossroads
96,主詞目,七早八早,tshit-tsá-peh-tsá/tshit-tsá-pueh-tsá,時間節令,96(1),seven to eight mornings
97,主詞目,入耳,ji̍p-ní/li̍p-ní,反應、表情,97(1),Into the ear
98,主詞目,刀肉,to-bah,生活用品,98(1),Knife meat
99,主詞目,七老八老,tshit-lāu-peh-lāu/tshit-lāu-pueh-lāu,生養老死,99(1),Seven old people and eight old people
100,主詞目,了尾仔囝,liáu-bué-á-kiánn/liáu-bé-á-kiánn,宗族、家庭,100(1),Laoweizai'an
101,主詞目,二步七仔,--jī-pōo-tshit-á/--lī-pōo-tshit-á,才智能力,101(1),Two steps and seven boys
102,主詞目,八角,peh-kak/pueh-kak,"食物、飲料、煙酒,形貌、體積",102(1),star anise
103,主詞目,十足,tsa̍p-tsiok,性質、程度,103(1),Full
104,主詞目,九芎仔,kiú-kiong-á,"花草樹木,醫療保健",104(1),Jiu Xiong Zai
105,主詞目,人事,jîn-sū/lîn-sū,"服務業及其他,交際應酬",105(1),personnel
106,主詞目,八卦,pat-kuà,"魚蝦海獸,相關器具、活動",106(1),Gossip
107,主詞目,卜卦,pok-kuà,相關器具、活動,107(1),Divination
108,主詞目,二房,jī-pâng/lī-pâng,"宗族、家庭,稱謂輩分",108(1),Second bedroom
109,主詞目,人物,jîn-bu̍t/lîn-bu̍t,"才智能力,戲劇、音樂",109(1),figure
110,主詞目,十花五色,tsa̍p-hue-gōo-sik,,110(1),colorful
111,主詞目,入門,ji̍p-mn̂g/li̍p-mn̂g,"性別、婚姻,房屋租賃、搬遷,教育、學術,性質、程度",111(1),getting Started
112,主詞目,人客,lâng-kheh,"婚喪喜慶,交際應酬",112(1),guest
113,主詞目,了後,liáu-āu,時間節令,113(1),After
114,主詞目,七星,tshit-tshenn/tshit-tshinn,天文,114(1),seven stars
115,主詞目,二指,jī-tsáinn/lī-tsáinn,生理構造,115(1),Two fingers
116,主詞目,刁持,tiau-tî,心理狀態,116(1),Diaochi
117,主詞目,刁故意,tiau-kòo-ì,心理狀態,117(1),Deliberately
118,主詞目,刀柄,to-pènn/to-pìnn,生活用品,118(1),hilt
119,主詞目,八珍,pat-tin,"道德評價,醫療保健,食物、飲料、煙酒",119(1),Bazhen
120,主詞目,人面,lâng-bīn,交際應酬,120(1),human face
121,主詞目,人倫,jîn-lûn/lîn-lûn,宗族、家庭,121(1),Human relations
122,主詞目,人員,jîn-uân/lîn-uân,"服務業及其他,相關用語",122(1),personnel
123,主詞目,入厝,ji̍p-tshù/li̍p-tshù,房屋租賃、搬遷,123(1),Enter the house
124,主詞目,七娘媽,Tshit-niû-má,神明、鬼怪、教派,124(1),Seventh Mother
125,主詞目,七娘媽生,Tshit-niû-má-senn/Tshit-niû-má-sinn,"時間節令,生活狀況,相關器具、活動",125(1),The seventh mother gave birth
126,主詞目,人家,jîn-ke/lîn-ke,宗族、家庭,126(1),people
127,主詞目,人家厝仔,jîn-ke-tshù-á/lîn-ke-tshù-á,建築物、結構,127(1),Renjiazai
128,主詞目,八家將,pat-ka-tsiòng,神明、鬼怪、教派,128(1),eight generals
129,主詞目,人格,jîn-keh/lîn-keh,道德評價,129(1),Personality
130,主詞目,人氣,jîn-khì/lîn-khì,交際應酬,130(1),Popularity
131,主詞目,刀砧,to-tiam,"生活用品,飲食物具",131(1),Anvil
132,主詞目,人馬,jîn-má/lîn-má,組織團體,132(1),Centaur
133,主詞目,入院,ji̍p-īnn/li̍p-īnn,醫療保健,133(1),Admission
134,主詞目,人參,jîn-sim/lîn-sim,"蔬果作物,醫療保健",134(1),Ginseng
135,主詞目,人情,jîn-tsîng/lîn-tsîng,交際應酬,135(1),Favor
136,主詞目,人情世事,jîn-tsîng-sè-sū/lîn-tsîng-sè-sū,交際應酬,136(1),human affairs
137,主詞目,入教,ji̍p-kàu/li̍p-kàu,相關器具、活動,137(1),Become a Christian
138,主詞目,人望,jîn-bōng/lîn-bōng,地位、身世、背景,138(1),Popularity
139,主詞目,人造,jîn-tsō/lîn-tsō,性質、程度,139(1),artificial
140,主詞目,刀喙,to-tshuì,"傷疾病痛,生活用品",140(1),beak
141,主詞目,入場,ji̍p-tiûnn/li̍p-tiûnn,戲劇、音樂,141(1),Admission
142,主詞目,了然,liáu-jiân/liáu-liân,境況、狀態-擬事,142(1),clear
143,主詞目,力量,li̍k-liōng,才智能力,143(1),strength
144,主詞目,刁意故,thiau-ì-kòo,心理狀態,144(1),Tricky
145,主詞目,七爺,Tshit-iâ,神明、鬼怪、教派,145(1),Qiye
146,主詞目,刀銎,to-khing,生活用品,146(1),daoxiao
147,主詞目,又閣,iū-koh,副詞,147(1),Youge
148,主詞目,人影,lâng-iánn,泛稱,148(1),silhouette
149,主詞目,九層塔,káu-tsàn-thah,"蔬果作物,食物、飲料、煙酒",149(1),nine-story pagoda
150,主詞目,人範,lâng-pān,道德評價,150(1),Human model
151,主詞目,人緣,lâng-iân,交際應酬,151(1),Popularity
152,主詞目,入學,ji̍p-o̍h/li̍p-o̍h,教育、學術,152(1),Admission
153,主詞目,入選,ji̍p-suán/li̍p-suán,事、物泛稱,153(1),Selected
154,主詞目,了錢,liáu-tsînn,錢財資產,154(1),got money
155,主詞目,人頭,lâng-thâu,"生理構造,交際應酬,數詞、量詞",155(1),head
156,主詞目,力頭,la̍t-thâu,才智能力,156(1),Litou
157,主詞目,入殮,ji̍p-liām/li̍p-liām,"生養老死,婚喪喜慶",157(1),coffin
158,主詞目,入聲,ji̍p-siann/li̍p-siann,語言、文字、符號,158(1),Enter the voice
159,主詞目,刁難,thiau-lân,"心理狀態,待人處事",159(1),Make things difficult
160,主詞目,人權,jîn-khuân/lîn-khuân,法律,160(1),human rights
161,主詞目,丈,tn̄g,數詞、量詞,161(1),ten feet
162,主詞目,三,sam,數詞、量詞,162(1),three
163,主詞目,三,sann,數詞、量詞,163(1),three
164,主詞目,上,tsiūnn,肢體動作,164(1),superior
165,主詞目,上,tshiūnn,肢體動作,165(1),superior
166,主詞目,上,siōng,"空間方位,性質、程度,副詞",166(1),superior
167,主詞目,下,ē,"空間方位,性質、程度,數詞、量詞",167(1),Down
168,主詞目,下,hā,"空間方位,性質、程度,數詞、量詞",168(1),Down
169,主詞目,下,hē,心理活動,169(1),Down
170,主詞目,低,kē,"空間方位,地位、身世、背景,才智能力,性質、程度",170(1),Low
171,主詞目,个,ê,"代名詞,數詞、量詞",171(1),indivual
172,主詞目,丸,uân,"事、物泛稱,數詞、量詞",172(1),pill
173,主詞目,久,kú,"時間節令,性質、程度",173(1),Long
174,主詞目,么,io,數詞、量詞,174(1),What?
175,主詞目,乞,khit,交際應酬,175(1),beg
176,主詞目,也,iā,連詞、介詞,176(1),also
177,主詞目,亡,bông,生養老死,177(1),Death
178,主詞目,凡,huân,事、物泛稱,178(1),Fan
179,主詞目,凡,huān,副詞,179(1),Fan
180,主詞目,千,tshian,"性質、程度,數詞、量詞",180(1),thousand
181,主詞目,千,tshing,"性質、程度,數詞、量詞",181(1),thousand
182,主詞目,叉,tshe,"待人處事,事、物泛稱",182(1),fork
183,主詞目,口,kháu,"生理構造,建築物、結構,數詞、量詞",183(1),mouth
184,主詞目,土,thóo,"地理,資源礦物,個性風格,氣質態度",184(1),earth
185,主詞目,士,sū,相關用語,185(1),scholar
186,主詞目,大,ta,語言、文字、符號,186(1),big
187,主詞目,大,tāi,形貌、體積,187(1),big
188,主詞目,大,tuā,形貌、體積,188(1),big
189,主詞目,女,lí/lú,泛稱,189(1),female
190,主詞目,女,lú,泛稱,190(1),female
191,主詞目,子,tsí,"動物形體、行為,植物形體、狀態,事、物泛稱",191(1),son
192,主詞目,子,tsú,"時間節令,泛稱,宗族、家庭,稱謂輩分",192(1),son
193,主詞目,子,jí/lí,事、物泛稱,193(1),son
194,主詞目,寸,tshùn,"形貌、體積,數詞、量詞",194(1),inch
195,主詞目,小,siáu,性質、程度,195(1),Small
196,主詞目,小,sió,性質、程度,196(1),Small
197,主詞目,山,san,"地理,自然現象",197(1),Mountain
198,主詞目,山,suann,"地理,自然現象",198(1),Mountain
199,主詞目,工,kang,"時間節令,相關用語,數詞、量詞",199(1),work
200,主詞目,工,kong,戲劇、音樂,200(1),work
201,主詞目,己,kí,"天文,稱謂輩分",201(1),self
202,主詞目,巳,tsī,時間節令,202(1),Si
203,主詞目,巾,kin/kun,生活用品,203(1),towel
204,主詞目,干,kan,"時間節令,軍事,一般動詞-行為動詞",204(1),Dry
205,主詞目,弓,king,"軍事,數詞、量詞",205(1),bow
206,主詞目,才,tsâi,才智能力,206(1),talent
207,主詞目,才,tsiah,副詞,207(1),talent
208,主詞目,才,tshâi,數詞、量詞,208(1),talent
209,主詞目,下𦜆,ē-ham,生理構造,209(1),Down 𦜆
210,主詞目,丈人,tiūnn-lâng,"性別、婚姻,稱謂輩分",210(1),Father-in-law
211,主詞目,三八,sam-pat,個性風格,211(1),Thirty-eight
212,主詞目,土人,thóo-lâng,"個性風格,氣質態度",212(1),native
213,主詞目,大人,tāi-jîn/tāi-lîn,稱謂輩分,213(1),grown ups
214,主詞目,大人,tuā-lâng,泛稱,214(1),grown ups
215,主詞目,大力,tuā-la̍t,性質、程度,215(1),vigorously
216,主詞目,小人,siáu-jîn/siáu-lîn,"泛稱,個性風格",216(1),villain
217,主詞目,川七,tshuan-tshit,"蔬果作物,醫療保健,食物、飲料、煙酒",217(1),Chuanqi
218,主詞目,工人,kang-lâng,科技、工業,218(1),Worker
219,主詞目,丈人公,tiūnn-lâng-kong,"性別、婚姻,稱謂輩分",219(1),father-in-law
220,主詞目,三七仔,sam-tshit-á,服務業及其他,220(1),Sanqizai
221,主詞目,丈人爸,tiūnn-lâng-pâ,"性別、婚姻,稱謂輩分",221(1),father-in-law
222,主詞目,三八氣,sam-pat-khuì,個性風格,222(1),Sanbaqi
223,主詞目,丈人媽,tiūnn-lâng-má,"性別、婚姻,稱謂輩分",223(1),Mother-in-law
224,主詞目,上久,siōng-kú,"時間節令,性質、程度",224(1),Shangjiu
225,主詞目,上山,tsiūnn-suann,休閒、娛樂,225(1),Go up the mountain
226,主詞目,下山,hā-san,戲劇、音樂,226(1),Go down the mountain
227,主詞目,久久,kú-kú,"時間節令,性質、程度",227(1),long time
228,主詞目,大下,tuā-ē,性質、程度,228(1),Daxia
229,主詞目,小口,sió-kháu,飲食行為,229(1),small mouth
230,主詞目,小工,sió-kang,相關用語,230(1),Little laborer
231,主詞目,才子,tsâi-tsú,"地位、身世、背景,才智能力",231(1),Talented man
232,主詞目,大丈夫,tāi-tiōng-hu,"泛稱,個性風格",232(1),A real man
233,主詞目,干干仔,kan-kan-á,副詞,233(1),Gan Gan Zai
234,主詞目,三山國王,Sam-san-kok-ông,神明、鬼怪、教派,234(1),king of three mountains
235,主詞目,千千萬萬,tshian-tshian-bān-bān,"性質、程度,數詞、量詞",235(1),Thousands and thousands
236,主詞目,上山頭,tsiūnn-suann-thâu,婚喪喜慶,236(1),Go up the hill
237,主詞目,丈公,tiūnn-kong,稱謂輩分,237(1),Father-in-law
238,主詞目,上元,Siōng-guân,"時間節令,生活狀況,相關器具、活動",238(1),Shangyuan
239,主詞目,下元,Hā-guân,時間節令,239(1),Xiayuan
240,主詞目,下勻,ē-ûn,稱謂輩分,240(1),Even down
241,主詞目,大不了,tāi-put-liáu,性質、程度,241(1),Big deal
242,主詞目,三不五時,sam-put-gōo-sî,"時間節令,性質、程度",242(1),From time to time
243,主詞目,土公仔,thóo-kong-á,"服務業及其他,個性風格",243(1),Doll
244,主詞目,小丑仔,siáu-thiú-á,"服務業及其他,休閒、娛樂",244(1),clown boy
245,主詞目,土公仔性,thóo-kong-á-sìng,個性風格,245(1),Doll sex
246,主詞目,上元暝,Siōng-guân-mê/Siōng-guân-mî,時間節令,246(1),Shangyuan Ming
247,主詞目,上午,siōng-ngóo,時間節令,247(1),morning
248,主詞目,上天,siōng-thian,神明、鬼怪、教派,248(1),Heaven
249,主詞目,上手,tsiūnn-tshiú,才智能力,249(1),Get started
250,主詞目,上水,tshiūnn-tsuí,"傷疾病痛,生活勞動",250(1),Sheung Shui
251,主詞目,下午,hā-ngóo,時間節令,251(1),afternoon
252,主詞目,下手,hē-tshiú,肢體動作,252(1),Start
253,主詞目,下手,ē-tshiú,地位、身世、背景,253(1),Start
254,主詞目,下水,hā-suí,"廢棄物,食物、飲料、煙酒",254(1),launch
255,主詞目,土木,thóo-bo̍k,"科技、工業,建築物、結構",255(1),Civil engineering
256,主詞目,大方,tāi-hong,"個性風格,氣質態度,待人處事",256(1),Generous
257,主詞目,大日,tuā-ji̍t/tuā-li̍t,"氣候溫度,時間節令",257(1),big day
258,主詞目,大月,tuā-gue̍h/tuā-ge̍h,"時間節令,商業",258(1),Otsuki
259,主詞目,寸尺,tshùn-tshioh,"形貌、體積,性質、程度",259(1),inches
260,主詞目,小心,sió-sim,心理狀態,260(1),careful
261,主詞目,小月,sió-gue̍h/sió-ge̍h,"時間節令,商業",261(1),Satsuki
262,主詞目,小木,sió-ba̍k,服務業及其他,262(1),Xiaomu
263,主詞目,工夫,kang-hu,"才智能力,體育、運動",263(1),time
264,主詞目,三太子,Sam-thài-tsú,神明、鬼怪、教派,264(1),Third Prince
265,主詞目,上尺工,siāng-tshe-kong,戲劇、音樂,265(1),On-foot work
266,主詞目,三心兩意,sam-sim-lióng-ì,心理狀態,266(1),half-hearted
267,主詞目,大心氣,tuā-sim-khuì,反應、表情,267(1),Big-hearted
268,主詞目,千斤秤,tshian-kin-tshìn/tshian-kun-tshìn,"科技、工業,生產工具",268(1),Thousand catty scale
269,主詞目,三文魚,sam-bûn-hî/sam-bûn-hû,"魚蝦海獸,食物、飲料、煙酒",269(1),salmon
270,主詞目,下水湯,hā-suí-thng,食物、飲料、煙酒,270(1),Sewage soup
271,主詞目,大爿,tuā-pîng,"相關器具、活動,性質、程度",271(1),Dayan
272,主詞目,丸仔,uân-á,"食物、飲料、煙酒,形貌、體積",272(1),maruzai
273,主詞目,大兄,tuā-hiann,"宗族、家庭,稱謂輩分",273(1),Big brother
274,主詞目,工仔,kang-á,科技、工業,274(1),worker
275,主詞目,巾仔,kin-á/kun-á,生活用品,275(1),scarf boy
276,主詞目,弓仔,king-á,生活用品,276(1),Gong Zai
277,主詞目,大主大意,tuā-tsú-tuā-ì,"相關用語,待人處事",277(1),The boss is careless
278,主詞目,大代誌,tuā tāi-tsì,事、物泛稱,278(1),Great Chronicles
279,主詞目,上加,siōng-ke,副詞,279(1),plus
280,主詞目,上北,tsiūnn-pak,,280(1),Up north
281,主詞目,下司,ē-si,"泛稱,相關用語",281(1),subordinate
282,主詞目,土包仔,thóo-pau-á,泛稱,282(1),bumpkin
283,主詞目,小可仔,sió-khuá-á,性質、程度,283(1),Little boy
284,主詞目,大四界,tuā-sì-kè/tuā-sì-kuè,性質、程度,284(1),Great Four Realms
285,主詞目,上卌袂攝,tsiūnn-siap-bē-liap/tsiūnn-siap-buē-liap,生養老死,285(1),Photo by Shang Xing
286,主詞目,下半暝,ē-puànn-mê/ē-puànn-mî,時間節令,286(1),The second half is dark
287,主詞目,上市,tsiūnn-tshī,財務單位、活動,287(1),Listed
288,主詞目,下本,hē-pún,財務單位、活動,288(1),Next copy
289,主詞目,大本,tuā-pún,"錢財資產,數詞、量詞",289(1),big book
290,主詞目,小旦,sió-tuànn,"戲劇、音樂,休閒、娛樂",290(1),Xiaodan
291,主詞目,上目,tsiūnn-ba̍k,相關用語,291(1),upper eye
292,主詞目,口白,kháu-pe̍h,戲劇、音樂,292(1),Bai Bai
293,主詞目,大目,tuā-ba̍k,生理構造,293(1),big eye
294,主詞目,小生,sió-sing,戲劇、音樂,294(1),niche
295,主詞目,小玉仔,sió-gio̍k-á,"蔬果作物,食物、飲料、煙酒",295(1),Xiaoyuzai
296,主詞目,小白菜,sió-pe̍h-tshài,"蔬果作物,醫療保健,食物、飲料、煙酒",296(1),Chinese cabbage
297,主詞目,大甲蓆,Tāi-kah-tshio̍h,生活用品,297(1),Dajia Seat
298,主詞目,上任,tsiūnn-jīm/tsiūnn-līm,相關用語,298(1),Take office
299,主詞目,久仰,kiú-gióng,,299(1),admire for a long time
300,主詞目,干休,kan-hiu,副詞,300(1),dry rest
301,主詞目,大名,tuā-miâ,相關用語,301(1),daimyo
302,主詞目,大囝,tuā-kiánn,"宗族、家庭,稱謂輩分",302(1),big gate
303,主詞目,小名,sió-miâ,稱謂輩分,303(1),Nickname
304,主詞目,小囝,sió-kiánn,泛稱,304(1),Xiaonan
305,主詞目,大同仔,tāi-tông-á,"蔬果作物,食物、飲料、煙酒",305(1),datongzi
306,主詞目,上好,siōng hó,性質、程度,306(1),Excellent
307,主詞目,也好,iā hó,副詞,307(1),OK
308,主詞目,土地,thóo-tē/thóo-tuē,"地理,資源礦物",308(1),land
309,主詞目,土地公,Thóo-tī-kong,神明、鬼怪、教派,309(1),earth god
310,主詞目,下早仔,e-tsái-á,時間節令,310(1),Xia Zao Zai
311,主詞目,大耳,tuā-hīnn/tuā-hī,"才智能力,個性風格,體態樣貌",311(1),Big ears
312,主詞目,大舌,tuā-tsi̍h,反應、表情,312(1),big tongue
313,主詞目,大伯,tuā-peh,"宗族、家庭,稱謂輩分",313(1),Uncle
314,主詞目,大位,tuā-uī,稱謂輩分,314(1),Big seat
315,主詞目,工作,kang-tsok,相關用語,315(1),Work
316,主詞目,山伯英台,San-phik-Ing-tâi,"文學、藝術,戲劇、音樂",316(1),Shan Boyingtai
317,主詞目,大妗,tuā-kīm,"宗族、家庭,稱謂輩分",317(1),Da Jin
318,主詞目,山尾溜,suann-bué-liu/suann-bé-liu,"地理,自然現象",318(1),Shanwei Liu
319,主詞目,子弟,tsú-tē,"宗族、家庭,稱謂輩分",319(1),children
320,主詞目,小弟,sió-tī,"宗族、家庭,稱謂輩分",320(1),little brother
321,主詞目,子弟戲,tsú-tē-hì,戲劇、音樂,321(1),Children's play
322,主詞目,三更,sann-kenn/sann-kinn,時間節令,322(1),Midnight
323,主詞目,三更半暝,sann-kenn-puànn-mê/sann-kinn-puànn-mî,時間節令,323(1),Midnight and half dark
324,主詞目,口灶,kháu-tsàu,"國家、社會、民眾,數詞、量詞",324(1),mouth stove
325,主詞目,小肚,sió-tōo,生理構造,325(1),belly
326,主詞目,大肚胿,tuā-tōo-kui,"生理構造,性別、婚姻,生養老死",326(1),Big belly
327,主詞目,三角,sann-kak,"錢財資產,形貌、體積",327(1),triangle
328,主詞目,久見,kiú-kiàn,交際應酬,328(1),See you for a long time
329,主詞目,山谷,suann-kok,"地理,自然現象",329(1),valley
330,主詞目,川芎,tshuan-kiong,"蔬果作物,醫療保健",330(1),Chuanxiong
331,主詞目,川貝,tshuan-puè,"蔬果作物,醫療保健",331(1),Sichuan clam
332,主詞目,干貝,kan-puè,食物、飲料、煙酒,332(1),scallops
333,主詞目,千里眼,Tshian-lí-gán,神明、鬼怪、教派,333(1),clairvoyance
334,主詞目,三角窗,sann-kak-thang,建築物、結構,334(1),triangular window
335,主詞目,三角褲,sann-kak-khòo,衣帽鞋襪,335(1),briefs
336,主詞目,千里鏡,tshian-lí-kiànn,生活用品,336(1),telescope
337,主詞目,久來,kú--lâi,時間節令,337(1),Long time coming
338,主詞目,口供,kháu-king,法律,338(1),oral confession
339,主詞目,大使,tāi-sài,"服務業及其他,外交",339(1),ambassador
340,主詞目,小事,sió-sū,事、物泛稱,340(1),trivial matter
341,主詞目,小使,siáu-sú,"泛稱,相關用語",341(1),envoy
342,主詞目,工事,kang-sū,相關用語,342(1),fortification
343,主詞目,女兒,lú-jî/lú-lî,"宗族、家庭,稱謂輩分",343(1),daughter
344,主詞目,小叔,sió-tsik,"宗族、家庭,稱謂輩分",344(1),brother-in-law
345,主詞目,小管仔,sió-kńg-á,"魚蝦海獸,食物、飲料、煙酒,事、物泛稱",345(1),little steward
346,主詞目,小兒科,sió-jî-kho/sió-lî-kho,醫療保健,346(1),Pediatrics
