defid,wordid,partofspeech,def_chinese,def_english
54,38,名詞,天干的第二位。,The second place of heavenly stems.
55,38,形容詞,次序或等級屬於第二的。,The order or rank belongs to the second.
56,39,名詞,天干的第四位，也指排序或等級為第四。,The fourth position of the Heavenly Stem also refers to the fourth rank or rank.
57,39,名詞,男子。,man.
58,39,名詞,姓氏。,Surname.
59,40,數詞,數字。,number.
60,40,形容詞,常和八連用成為詞組，用來表示強調或重複的意思。,Often used together with eight to form a phrase to express emphasis or repetition.
61,40,名詞,傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。,"In traditional funeral rites, every seven days is divided into ten days. The first, third, fifth, and seventh ten days are the ten days, and Taoist priests must be invited to perform a ceremony, which is called ""doing seven"" (tsò-tshit) or ""doing ten days"" (tsò-sûn). The merits will be considered complete only when the seventy days are over."
62,41,數詞,數字。,number.
63,41,形容詞,形容多數。,Describe the majority.
64,42,數詞,數字。,number.
23205,42,形容詞,形容多數。,Describe the majority.
65,43,動詞,表示動作結束、完畢。或是表示動作的時間狀況。,Indicates the end and completion of the action. Or express the time status of the action.
66,43,動詞,明白。,clear.
67,43,動詞,白費。,In vain.
68,43,動詞,賠錢、損失。,"Loss of money, loss."
69,43,助詞,用於動詞及補語間，表示動作得到補語的結果。,Used between verbs and complements to express the result of the complement of an action.
70,44,數詞,數字。 ,number. 
71,45,名詞,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。,"Higher animals that are highly intelligent and spiritual, can use language to communicate thoughts, and can make and use tools."
72,45,形容詞,與人有關的。,Relevant to people.
73,45,名詞,具有某種身份或特徵的人。,A person with a certain identity or characteristics.
74,46,名詞,具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。,"Higher animals that are highly intelligent and spiritual, can use language to communicate thoughts, and can make and use tools."
75,46,名詞,人家、別人。,"Others, other people."
76,46,名詞,具有某種身份或特徵的人。,A person with a certain identity or characteristics.
77,46,代詞,借稱自己。,Call yourself.
78,46,名詞,與人有關的事，如人的品格、個性、身體狀況等。,"Things related to people, such as their character, personality, physical condition, etc."
79,47,動詞,進。從外面進到裡面。,Enter. Enter from the outside into the inside.
80,47,動詞,裝進。,Load in.
81,47,動詞,收進帳款。,Collect payment.
82,48,數詞,數字。,number.
83,49,數詞,數字。,number.
84,50,名詞,供切、削、剪、刻、割、斬等用途的工具。,"Tools for cutting, whittling, shearing, carving, cutting, chopping, etc."
85,50,量詞,計算切割次數的單位。,The unit used to calculate the number of cuts.
86,50,量詞,計算紙張的單位；通常一百張為一刀。,A unit of paper; usually one hundred sheets is one dollar.
87,51,動詞,刁難、為難。,"Make things difficult, make things difficult."
88,51,動詞,故意。,deliberately.
89,52,名詞,力量、氣力。,"Strength, vigor."
90,53,名詞,力量、氣力。,"Strength, vigor."
91,53,名詞,泛指一切事物所具有的效能或作用。,Generally refers to the effectiveness or function of everything.
92,54,數詞,數目。,number.
93,54,形容詞,比喻很多、完全。,Metaphors are numerous and complete.
94,55,數詞,數字。,number.
95,55,形容詞,比喻完全、非常。,"The metaphor is completely, extremely."
96,55,形容詞,像十的字形的。,Like the shape of a ten.
97,56,動詞,試試看。,Give it a try.
98,57,動詞,卜卦、占卜。,"Divination, divination."
99,58,副詞,再、復。,"Again, again."
100,59,名詞,單身漢。,bachelor.
101,60,副詞,光光、窮盡、完全沒有了。當作動詞補語。,"Bare, exhausted, completely gone. As a verb complement."
102,61,形容詞,全都是。表示數量多或加強語氣。,All of them. To express a large quantity or to strengthen the tone.
103,62,名詞,每一個人。,Everyone.
104,63,形容詞,非常、很。用來形容程度極深。,"Very, very. Used to describe an extremely deep level."
105,64,名詞,十二生肖。即鼠、牛、虎、兔、龍、蛇、馬、羊、猴、雞、狗、豬。,"Zodiac signs. That is, rat, ox, tiger, rabbit, dragon, snake, horse, sheep, monkey, rooster, dog, and pig."
106,64,名詞,各行各業。,All walks of life.
107,65,名詞,小腸的上段部分，上接胃，下連空腸，長度大約是十二個指頭長，形狀為Ｃ形，是小腸最主要的吸收養分的地方。,"The upper part of the small intestine, connected to the stomach above and the jejunum below, is about twelve fingers long and C-shaped. It is the main place where nutrients are absorbed in the small intestine."
108,66,名詞,除夕、大年夜。,New Year's Eve and New Year's Eve.
109,67,名詞,骰子。一種遊戲或賭博用的小方塊。六面分別刻上一、二、三、四、五、六點，一、四漆紅色，其餘為黑色。,"dice. A small square used for gaming or gambling. The six sides are engraved with one, two, three, four, five, and six points respectively. One and four are painted red, and the rest are black."
110,68,形容詞,十八種變化。用來比喻或形容事物變化多端，或是借用佛家語，比喻本領高強。,"Eighteen variations. It is used to metaphor or describe the ever-changing things, or to borrow Buddhist language to describe one's ability."
111,69,名詞,農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。,"The night of the seventh day of the seventh lunar month. According to legend, the Cowherd and the Weaver Girl in heaven will meet each other that night. For Taiwanese, the seventh day of July is ""Tshit-niû-má-senn"" (Tshit-niû-má-senn), and there is also a custom in Tainan of ""Sixteen-year-old"" (tsò tsa̍p-la̍k huè)."
112,70,動詞,白費工夫。,Wasted effort.
113,71,名詞,人力、人手。人的勞動力或是指可以工作的人。,"Manpower, manpower. Human labor force refers to people who can work."
114,71,名詞,工資。從事工作所得的報酬。,salary. Remuneration for work performed.
115,72,名詞, 外表、儀容。," Appearance, grooming."
116,73,動詞,埋葬。將亡者的遺體葬入土中。,bury. The remains of the deceased are buried in the ground.
117,74,副詞,專程、特地。,"Special trip, special trip."
118,74,副詞,故意。,deliberately.
119,75,名詞,人臉部鼻子下，嘴脣上方凹下部分。,The concave part of the human face under the nose and above the lips.
120,76,名詞,七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。,"Seven orifices. Refers to the seven apertures on the human face, including the eyes, ears, nostrils and mouth."
121,77,名詞,貝類。貝葉為橢圓形，上面有九個上下的吸水孔，喜歡棲息在數公尺深的岩礁地形中。有野生採集和人工養殖兩種來源，可以做為海鮮食材，是臺灣東北角、東部海岸及澎湖縣等岩岸地區的著名水產養殖貝類。,"shellfish. The bay leaf is oval in shape with nine upper and lower water-absorbing holes. It likes to inhabit rocky terrain several meters deep. There are two sources: wild collection and artificial cultivation. It can be used as seafood ingredients. It is a famous aquaculture shellfish in rocky coastal areas such as the northeastern corner of Taiwan, the eastern coast and Penghu County."
122,78,名詞,副手、助手、助理。技術工作中的助手、協助處理事務的人。,"Deputy, assistant, assistant. An assistant in technical work, a person who assists in handling matters."
123,78,名詞,中古貨。已經使用過，又再出售的貨品。,Second-hand goods. Goods that have been used and resold.
124,79,動詞,入殮。把死者放進棺木中。,Encoffined. Place the deceased in the coffin.
125,80,名詞,神話傳說中的八位仙人，漢鍾離、張果老、韓湘子、鐵拐李、曹國舅、呂洞賓、藍采和、何仙姑八人。,"The eight immortals in myths and legends are Han Zhongli, Zhang Guolao, Han Xiangzi, Tieguaili, Cao Guojiu, Lu Dongbin, Lan Caihe and He Xiangu."
126,81,名詞,小刀。,Knife.
127,82,名詞,一種用來祭祀的方桌。通常置於大廳，祭祀時用來陳列祭品，與用來供奉神明或祖先牌位的「尪架桌」(ang-kè-toh)合稱「頂下桌」(tíng-ē toh)。,"A square table used for worship. It is usually placed in the hall and used to display sacrifices during sacrifices. Together with the ""ang-kè-toh"" (ang-kè-toh) used to enshrine the gods or ancestors' tablets, it is collectively called the ""top table"" (tíng-ē toh)."
128,83,名詞,繡有八仙過海的紅色彩幔，在喜事節慶時懸掛在門楣上。,A red curtain embroidered with the Eight Immortals crossing the sea is hung on the lintel during happy events and festivals.
129,84,動詞,刻意作弄、為難別人。,Deliberately teasing and embarrassing others.
130,85,動詞,蝕本、虧本。,"Lose money, lose money."
131,86,名詞,百姓、國民。居住在一國家內具有應享權利與應盡義務的人。,"People, citizens. A person who resides in a country and has entitlements and obligations."
132,87,名詞,人的一生、生命歷程。,A person's life and life course.
133,88,名詞,磨刀石。,Whetstone.
134,89,形容詞,完滿、齊全。完美無缺憾。,Complete and complete. Perfect without any flaws.
135,90,名詞,用於中醫藥名。,Used in traditional Chinese medicine names.
136,90,形容詞,完美、齊全。完美無缺憾。,Perfect and complete. Perfect without any flaws.
137,91,名詞,中國傳統命相學家，用人出生的年、月、日、時，以天干、地支配合成八個字，來推斷一生的命運。,"Traditional Chinese horoscopes use the year, month, day, and hour of a person's birth, combined with the eight characters dominated by the heavenly stems and the earth, to deduce the destiny of life."
138,92,名詞,七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。,"Seven-character tone. A tune that is very frequently used in Gezi Opera. Seven characters make up one sentence, and each paragraph has four sentences."
139,93,名詞,西洋古代的一種刑具。由於耶穌基督為了救贖世人而被釘死在十字架上，所以後世就用十字架來代表基督本身或對基督教的信仰。,"An ancient Western instrument of torture. Since Jesus Christ was crucified on the cross in order to redeem the world, later generations used the cross to represent Christ himself or belief in Christianity."
140,94,名詞,八字腳。走路內八字或外八字。,Figure splayed feet. Walk in or out.
141,95,名詞,縱橫兩條道路交接之處。,The intersection of two vertical and horizontal roads.
142,96,時間詞,一大清早。,Early in the morning.
143,96,時間詞,形容時間還早。,It’s still early to describe.
144,97,副詞,聽進耳裡。,Hear it in your ears.
145,98,名詞,指刀子的主體部位。,Refers to the main part of the knife.
146,99,形容詞,七老八十。形容年紀很老。,Seven old and eighty old. Describes very old age.
147,100,名詞,敗家子。不務正業、傾家蕩產而無法自立的子孫。,"spendthrift. Descendants who are not doing their jobs properly, who have lost everything and are unable to stand on their own feet."
148,101,名詞,本事、本領。形容人對事情有一點處理的本事、能力。,"Ability, ability. Describes a person who has some ability and ability to deal with things."
149,102,名詞,八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。,"The fruit of star anise. Dark brown in color, arranged in a star shape, they are generally used as food condiments."
150,103,形容詞,完全、充分。,Completely and fully.
151,104,名詞,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。,"Jiuxiong tree. woody plants. The wood is tough and can be used as a walking stick, and the roots can be used as medicine to treat malaria."
152,105,名詞,機關中的人員升調、獎懲、任免等事務。,"Promotion, rewards and punishments, appointments and removals of personnel in the agency."
153,105,名詞,人力。人的作為。,Manpower. What people do.
154,105,名詞,公關。用來送禮的物品。,PR. Items used for gift giving.
155,106,名詞,術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。,"Arithmetic terms. The collective name of the eight basic hexagrams in the Book of Changes. According to legend, it was made by the Fuxi family and consists of Yang Yao and Yin Yao. Later it was also used to refer to octagonal objects."
156,106,名詞,椰子蟹。甲殼類動物。可以爬上椰子樹，用兩隻螯剝食椰肉，故命名為「椰子蟹」。又因為體型碩大，個性凶蠻，頭胸部如八卦圖紋，俗稱「八卦」。,"Coconut crab. Crustaceans. It can climb coconut trees and use its two claws to peel and eat coconut meat, so it is named ""Coconut Crab"". Because of its large size, ferocious personality, and Bagua patterns on its head and chest, it is commonly known as ""Bagua""."
157,107,動詞,占卜。推斷未來的吉凶禍福。,Divination. Infer future good and bad luck.
158,108,名詞,家族中次男的支系。,The second male branch of the family.
159,109,名詞,有品格、才能出眾的人。,A person with outstanding character and talents.
160,110,形容詞,五花八門、形形色色。,Various and varied.
161,111,動詞,進門。,Come in.
162,111,動詞,婦女嫁到夫家。,Women marry into their husband's family.
163,111,動詞,初步學會。,Initial learning.
164,111,名詞,指初階讀物，多用在書名。,"Refers to elementary reading materials, often used in book titles."
165,112,名詞,客人、賓客、顧客。,"Guests, guests, customers."
166,113,時間詞,之後。 ,after. 
167,114,名詞,北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。,"Big Dipper, Big Dipper. Constellation name. A constellation composed of seven stars arranged in the northern sky, shaped like a dipper. It is an important horoscope in Chinese numerology and religious rituals. It belongs to the Ursa Major constellation in Western astrology."
168,115,名詞,食指。,index finger.
169,116,副詞,故意、存心。,"Deliberately, deliberately."
170,116,副詞,特地、特意。,"Specifically, specifically."
171,117,副詞,存心、故意。,"Intentionally, intentionally."
172,118,名詞,刀子的把手。,Knife handle.
173,119,名詞,漢方藥劑的名稱，包含：當歸、川芎、白芍、熟地、人參、白朮、茯苓、甘草。,"The names of Chinese herbal medicines include: Angelica sinensis, Ligusticum chuanxiong, white peony root, rehmannia glutinosa, ginseng, atractylodes, poria, and licorice."
174,119,形容詞,三八。形容人的言行不莊重。,Thirty-eight. Describes a person's words and deeds as being disrespectful.
175,120,名詞,人脈。,connections.
176,121,名詞,人類的倫常，人類相處的各種關係。,Human ethics and various relationships among human beings.
177,122,名詞,擔任某種職務的人。,A person who holds a certain position.
178,122,名詞,人數。,Number of people.
179,123,動詞,新居落成，搬入新家。,The new house is completed and moved into the new home.
180,124,名詞,註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。,"Note that Sheng Niang Niang or Weaver Girl. The birthday of the female deity is the seventh day of the seventh month of the lunar calendar. On that day, oil, rice, flowers, rouge and gouache will be used to offer sacrifices."
181,125,名詞,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。,"The seventh day of the seventh lunar month. The birthday of the Seven Star Empress. ""Qi Niang Ma"" is the Seven Star Empress, who is said to be the protector of children. In the past, when medicine was underdeveloped in agricultural societies, children often died or fell ill. Therefore, people would pray to the ""Seven Mothers"" to bless their children to grow up safely. Therefore, they would hold sacrifices on the seventh day of the seventh lunar month when the children turned sixteen (in the old days, they would be adults). To reward ""Seven Mothers""."
182,126,名詞,住宅、民家。,"Residential, private homes."
183,127,名詞,民宅。,Residential houses.
184,128,名詞,陰司的鬼役。為迎神賽會陣頭之一。,The ghost servant of the underworld. One of the leaders of the God-Yearing Games.
185,129,名詞,品格、品性。,"Character, character."
186,130,名詞,人緣、人望。源自日語「人気（にんき）」。,"Popularity and popularity. Derived from Japanese ""人気 (にんき)""."
187,131,名詞,砧板。切割魚肉或蔬果時所墊的板子。,"chopping board. A board used for cutting fish, fruits and vegetables."
188,132,名詞,兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。,"Soldiers and horses. Generally refers to the army and military equipment, as well as a gathering of people with considerable strength."
189,133,動詞,住院。因為生病住進醫院就醫。,Hospitalized. I was admitted to the hospital for medical treatment because I was sick.
190,134,名詞,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。,"herb. Both the roots and leaves can be used as medicine and are expensive Chinese medicinal materials. Because it looks like a human, it is called ""ginseng""."
191,135,名詞,恩惠、恩情。,"Favor, favor."
192,135,名詞,人際關係，尤指禮尚往來。,"Interpersonal relationships, especially courtesy."
193,136,熟語,人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。,"Humanity and sophistication. It is used to deal with advances and retreats in dealing with people, and is mostly used in weddings, funerals and other social and courtesy matters."
194,137,動詞,信教、皈依。,Believe in religion and take refuge.
195,138,名詞,眾人矚目。,All eyes are on you.
196,139,形容詞,由人工製造而成的。,Made by man.
197,140,名詞,刀口。,blade.
198,141,動詞,進場。進入會場、試場或戲院等特定場所。,"Enter. Entering specific places such as conference venues, examination rooms or theaters."
199,142,形容詞,枉然、枉費。,"In vain, in vain."
200,143,名詞,力氣、能力。,"Strength, ability."
201,144,形容詞,故意、存心。,"Deliberately, deliberately."
202,145,名詞,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。,"The name of the god. His name is Xie Bi'an, he is tall, and he is good friends with the eighth master Fan Wujiu. He died because of his trustworthiness and righteousness, and was sealed into the divine realm after his death. He is an important companion of the City God when he goes on tour."
203,146,名詞,刀背。指刀無刃的一邊。,The back of the knife. Refers to the edgeless side of the knife.
204,147,副詞,又、再，表示動作或現象的重複。,"Again, again, indicating the repetition of actions or phenomena."
205,148,名詞,人的影子，也可以用來指人。,The shadow of a person can also be used to refer to a person.
206,149,名詞,草本植物，脣形科羅勒屬。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。,"Herbaceous plant, Ocimum genus Lamiaceae. The colors of the flowers include white, purple, etc. Because the flower buds are nine-layered and the tips are arranged in nine rows, it is called the ""nine-story pagoda"". Its young stems and leaves are edible and have a special aroma."
207,150,名詞,人品。指人的外在面貌或儀表。,Character. Refers to a person's external appearance or appearance.
208,151,名詞,與人相處時，其相貌、個性、舉止受人歡迎的狀況。,"When you get along with others, your appearance, personality, and behavior are popular."
209,152,動詞,開始進入學校學習、求學。,Started to study and study in school.
210,153,動詞,中選。被選上、被選入。,"Selected. Chosen, chosen."
211,154,動詞,賠錢、虧本。,"Lose money, lose money."
212,154,動詞,白費錢財。,Money wasted.
213,155,名詞,人的頭部。,Human head.
214,155,名詞,人數。,Number of people.
215,155,名詞,為了逃避法律責任所設置的負責人。,A responsible person set up to evade legal responsibility.
216,156,名詞,力氣、力道。,"Strength, power."
217,157,動詞,將亡者的遺體放入棺木中。,The body of the deceased is placed in the coffin.
218,158,名詞,漢語的調類之一，指以塞音為韻尾的促音節，現今華語音中已無入聲，但是在閩南語和客語中仍有保留。,"One of the tonal categories in Chinese refers to the syllable with a stop sound as the final rhyme. There is no entry tone in Chinese pronunciation today, but it is still retained in Hokkien and Hakka."
219,159,動詞,故意為難。,Deliberately making things difficult.
220,160,名詞,人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。,"Human birthrights refer to the rights enjoyed by people in law, including freedom, personal safety, work, education, assembly and association, religious belief, property and all other personal and democratic rights."
221,161,量詞,計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。,"The unit for calculating length. Ten feet in the Taiwanese system equals one zhang, and ten meters in the metric system equals one meter."
222,162,數詞,數字。,number.
223,163,數詞,數字。,number.
224,164,動詞,登上、爬上。,"Climb up, climb up."
225,164,動詞,把東西端上去。,Serve things up.
226,165,動詞,向上提吊。,Lift upward.
227,165,動詞,慢慢長出來。,Grow out slowly.
228,166,方位詞,指空間位置「下」的相反。,"Refers to the opposite of the spatial position ""down""."
229,166,副詞,極致地、最……地，有些地區音變為thōng。,"Extremely, most...ly, the sound is changed to thōng in some areas."
230,167,方位詞,指空間位置「上」的相反。,"Refers to the opposite of the spatial position ""up""."
231,167,量詞,計算短暫動作的單位。,The unit for calculating short actions.
232,168,動詞,結束一個時程的工作。,End a schedule of work.
233,168,動詞,宣布、公布。,"Announce, announce."
234,168,動詞,往底下走。,Go down.
235,168,形容詞,形容程序較為後面的，或是位階較為低等的。,Describes a later process or a lower level.
236,169,動詞,放置、加進去。,Place and add.
237,169,動詞,許願。,Make a wish.
238,170,形容詞,低、不高的。可用來形容位置、聲音、程度等等。,"Low, not high. Can be used to describe location, sound, degree, etc."
239,171,量詞,個。計算單獨的人、物的單位。,indivual. Calculate the units of individual people and things.
241,172,名詞,又小又圓的物體。,"Small, round objects."
242,172,量詞,計算小而圓物體的單位。,"Calculate the units of small, round objects."
243,173,形容詞,指時間的長久、長遠。,Refers to the long and long term of time.
244,173,名詞,表示一段經過的時間。,Represents an elapsed time.
245,174,數詞,最小的數字，「一」的另一種稱呼。,"The smallest number, another name for ""one""."
246,175,動詞,向別人求討東西。,Asking for things from others.
247,176,副詞,亦。表示相同關係。,as well as. represents the same relationship.
248,177,動詞,死、消失、滅絕。,"Die, disappear, become extinct."
249,177,形容詞,過世的、死去的。,"Passed, dead."
250,177,名詞,過世的人、死去的人。,"The dead, the dead."
251,177,動詞,逃跑。,Escape.
252,178,形容詞,平常、平庸、普通的。,"Ordinary, mediocre, ordinary."
253,178,形容詞,概括、全部。,"Summary, all."
254,179,名詞,人世間、塵俗。,"The human world, the mundane world."
255,180,數詞,十個百為千。,Ten hundreds make a thousand.
256,180,形容詞,表示很多。,means a lot.
257,181,數詞,十的百倍，十個百為千。,"Ten is a hundred times, ten hundred is a thousand."
258,182,名詞,分支、分歧。,"Branches, divergences."
259,182,動詞,掐。,pinch.
260,182,名詞,用來表示錯誤或作廢的符號。,A symbol used to indicate errors or obsolescence.
261,182,動詞,用粗暴的話去頂撞別人。,Use harsh words to talk back to others.
262,183,名詞,指人的嘴巴。,Refers to a person's mouth.
263,183,名詞,出入的要道。,The main entrance and exit.
264,183,量詞,計算器物的單位。,Calculate the unit of utensils.
265,183,量詞,計算人數的單位。特指家庭的人口。,A unit for counting people. Specifically refers to the population of a family.
266,183,量詞,計算戶口的單位。,The unit for calculating household registration.
267,184,名詞,土壤。亦為五行之一。,soil. It is also one of the five elements.
268,184,形容詞,形容人的個性粗曠率直。,Describes a person's rough and straightforward personality.
269,184,形容詞,本地的、具有地方性的。,"Local, local."
270,185,名詞,學位名稱或泛指讀書人。,The name of a degree may generally refer to a scholar.
271,186,,名詞前綴。用於女子對丈夫之父母的稱呼。,noun prefix. A term used by a woman to address her husband's parents.
272,187,形容詞,指在體積、面積、深度、數量、強度等方面超過一般，或超過所比較的對象。,"It refers to exceeding the average in terms of volume, area, depth, quantity, intensity, etc., or exceeding the object being compared."
273,188,形容詞,在體積、面積、容量、數量、強度、深度、力量等方面超過一般，或超過比較的對象。,"Exceeding the average in terms of volume, area, capacity, quantity, strength, depth, power, etc., or exceeding the object of comparison."
274,188,副詞,時間上更前或更後，有強調的意味。,Being earlier or later in time means emphasizing.
275,188,形容詞,最年長的、排行第一的。,The oldest and number one.
276,188,動詞,變大、長大。,"Get bigger, grow up."
277,189,名詞,女性、女子。,"Women, women."
278,190,名詞,女性、女子。,"Women, women."
279,191,名詞,體積小的東西。,Something small.
280,191,名詞,植物的果實、種子或動物的卵。,"Plant fruits, seeds or animal eggs."
281,192,名詞,兒女。,Children.
282,192,名詞,對賢者的美稱。,A good name for a sage.
283,192,名詞,對人的稱呼。,A name for a person.
284,192,名詞,晚輩。,younger generation.
285,192,名詞,門生、信徒。,"Disciples, disciples."
286,192,名詞,地支的第一位。,The first of the earthly branches.
287,192,名詞,時辰名。用十二地支命名。,Time name. Named after the twelve earthly branches.
288,192,,名詞後綴。,noun suffix.
289,193,名詞,指小而圓形或橢圓形的東西。,"Refers to something small, round or oval."
290,193,量詞,計算香蕉的單位，等同於「根」。,"The unit used to calculate bananas is equivalent to the ""root""."
291,194,量詞,計算長度的單位。一寸約三公分。,The unit for calculating length. One inch is about three centimeters.
292,194,形容詞,短小、微小。,Short and tiny.
293,195,形容詞,細微，是「大」的相反。,"Subtlety is the opposite of ""big""."
294,195,名詞,謙稱自己的子女。,Call your children humbly.
295,196,形容詞,細微、是「大」的相反。,"Subtlety is the opposite of ""big""."
296,196,形容詞,少許、些微。,"A little, slightly."
297,196,形容詞,年紀、輩份比較低的。,Those who are younger in age and seniority.
298,197,名詞,地形隆起的部分。,The uplifted part of the terrain.
299,198,名詞,地形隆起的部分。,The uplifted part of the terrain.
300,198,名詞,陸地。,land.
301,198,名詞,旱地。,dry land.
302,199,量詞,計算天數的單位。,The unit used to calculate days.
303,199,名詞,運用勞力、技能的工作者。,A worker who uses labor and skills.
304,199,名詞,指生產勞務的工事。,Refers to the fortifications that produce labor services.
305,199,名詞,工夫。工作需要花費的時間、精力。,time. The time and energy required to work.
306,199,名詞,空閒時間。,Free time.
307,199,名詞,與機械、技術、製造相關的。,"Related to machinery, technology, and manufacturing."
308,200,名詞,樂譜音名。工尺譜是中國傳統記錄樂譜的方法之一，第三個音即為「工」，也就是現在首調唱名法中的mi。,"Music score sound name. Gongchipu is one of the traditional Chinese methods of recording music scores. The third sound is ""Gong"", which is the mi in the current first tune singing method."
309,201,代詞,自身，與別人相對。,"Oneself, as opposed to others."
